"ROI_Name","Age","centile_5","centile_10","centile_25","centile_50","centile_75","centile_90","centile_95"
"M4_WM_L_PercICV",65.1,15.8657524250798,16.1413662589521,16.6242246010234,17.1961569160095,17.8110039750215,18.4067900489219,18.7844501570801
"M4_WM_L_PercICV",66.1,15.8692191843708,16.1387616306406,16.6130247855852,17.1786778280266,17.7848889517803,18.3644432304707,18.7281172928906
"M4_WM_L_PercICV",67.1,15.8867157272614,16.1469802333453,16.6074568812365,17.161446340742,17.752959366088,18.3092456611233,18.6540448416808
"M4_WM_L_PercICV",68.1,15.9101569342086,16.1598879415233,16.6044988342681,17.1445232162478,17.7188931719285,18.2496462712051,18.5743071933701
"M4_WM_L_PercICV",69.1,15.9297355439609,16.1700412580529,16.6004557396047,17.1279248151172,17.6869264572811,18.195127549023,18.502200228393
"M4_WM_L_PercICV",70.1,15.9379697172102,16.1717722304831,16.5925095279464,17.1116307672726,17.660120862566,18.1523778234336,18.4469293083742
"M4_WM_L_PercICV",71.1,15.9340791768118,16.1646473148137,16.5805828858613,17.0955586475528,17.6382997738136,18.1213256549977,18.4085177320714
"M4_WM_L_PercICV",72.1,15.9198261778173,16.1502040884784,16.5656164760809,17.0796000582265,17.6201228952891,18.0995450252921,18.3838605255613
"M4_WM_L_PercICV",73.1,15.8992837092814,16.1317616675257,16.5494612565834,17.0636265657245,17.6032357683555,18.0825640501349,18.367144525341
"M4_WM_L_PercICV",74.1,15.8753440548579,16.1116988761438,16.5334660728133,17.047568891811,17.5859975922362,18.0673021089679,18.3544057020481
"M4_WM_L_PercICV",75.1,15.8495177011168,16.0912924730637,16.5183858403089,17.0314200577665,17.5675725357697,18.0522002900198,18.3436622380337
"M4_WM_L_PercICV",76.1,15.8214256449219,16.0703313699231,16.5041894864229,17.0152463488652,17.548146752868,18.0376431695528,18.3354698403168
"M4_WM_L_PercICV",77.1,15.7900305981616,16.0481292326179,16.4906307892008,16.9991432322248,17.5281983798038,18.0246218798033,18.3312317162583
"M4_WM_L_PercICV",78.1,15.7554674485163,16.0250009362425,16.4780535372087,16.9831839896395,17.507517117212,18.0128990390292,18.3308506002981
"M4_WM_L_PercICV",79.1,15.7185291249671,16.00164390475,16.4668446876089,16.9674134097797,17.4857926814984,18.0017454177952,18.3333835458223
"M4_WM_L_PercICV",80.1,15.6806743942922,15.9788311341708,16.4569802041732,16.9518270564275,17.4630585985017,17.9902611750887,18.3370150555455
"M4_WM_L_PercICV",81.1,15.6425843270187,15.9563397256894,16.4475709068302,16.9364087289554,17.4402425601885,17.9786726613184,18.3408707775146
"M4_WM_L_PercICV",82.1,15.603780464435,15.9326651045652,16.4367816395294,16.9211374942412,17.4192451852439,17.9686288463069,18.3454463361334
"M4_WM_L_PercICV",83.1,15.5649316523156,15.9074390269916,16.4236851128108,16.9060126301383,17.4010192813824,17.9605069123155,18.3499328627442
"M4_WM_L_PercICV",84.1,15.5278123182844,15.8814845454194,16.4083139938372,16.8910434438096,17.3855175339469,17.9533744930424,18.3522984235455
"M4_WM_L_PercICV",85.1,15.4949614129644,15.8570039098487,16.3920855638447,16.8762171081882,17.3712027580915,17.9447621502779,18.3496693411711
"M4_WM_L_PercICV",86.1,15.4685533702844,15.8362855167709,16.3767404730264,16.8615142432888,17.3562109166436,17.9321656222972,18.3396902852597
"M4_WM_L_PercICV",87.1,15.4481950107608,15.8196998400586,16.3630632535886,16.846920301673,17.3397077043292,17.91524772919,18.3229937770632
"M4_WM_L_PercICV",88.1,15.4325565759874,15.806717103311,16.3512066568956,16.8324162877555,17.3215158112379,17.8946451579192,18.3012261505719
"M4_WM_L_PercICV",89.1,15.4196506495637,15.7959420558597,16.3405644723349,16.8179745743768,17.3022243222314,17.8718799268824,18.2766682418086
"M4_GM_R_PercICV",55.1,20.3951937983247,20.8565181475636,21.6078321746874,22.4166674553006,23.2011849074189,23.888675938887,24.2924203860868
"M4_GM_R_PercICV",56.1,20.4677776167067,20.9293408771964,21.6812193324436,22.4909975431776,23.2768798797899,23.966034670917,24.3709998594007
"M4_GM_R_PercICV",57.1,20.5324838977966,20.994194928877,21.7464229958489,22.5568614318405,23.3438330407616,24.0344507539926,24.44055238941
"M4_GM_R_PercICV",58.1,20.5807853535929,21.0423913374641,21.7944701612687,22.6049638694647,23.3924353666729,24.0840521535448,24.4910617135799
"M4_GM_R_PercICV",59.1,20.6023398702515,21.0633960739579,21.8144872811161,22.6240441727536,23.4110485627133,24.1028845288188,24.5104008427523
"M4_GM_R_PercICV",60.1,20.5924469292478,21.0524550607451,21.8015986644888,22.6090683529099,23.394482713676,24.0856406723841,24.493210511302
"M4_GM_R_PercICV",61.1,20.5491915849701,21.0076753788056,21.7539035727463,22.5580928686245,23.3407503470875,24.030319955941,24.4375042904089
"M4_GM_R_PercICV",62.1,20.4709995595401,20.9275280171873,21.6698915220811,22.4695842114158,23.2482931176457,23.9353748762571,24.3417692570788
"M4_GM_R_PercICV",63.1,20.3576228050603,20.8118592341649,21.5494924697977,22.3435087806051,23.1171103871601,23.8008757363796,24.206153804223
"M4_GM_R_PercICV",64.1,20.2116095975313,20.6633982656803,21.3956413443633,22.1829557977728,22.9504391933768,23.6302437423744,24.0342347072736
"M4_GM_R_PercICV",65.1,20.0462766396115,20.4959091737254,21.2227185041396,22.0028868977359,22.7638056768458,23.4395716878718,23.8424997479076
"M4_GM_R_PercICV",66.1,19.8858741169864,20.334363620043,21.0567287976594,21.830318753598,22.5852123126479,23.2578199506326,23.6605532009358
"M4_GM_R_PercICV",67.1,19.7488166026981,20.1977952938053,20.9175452864654,21.6859113618076,22.4360874071503,23.1071994896318,23.5111626785035
"M4_GM_R_PercICV",68.1,19.6451012623235,20.0966490521901,20.8161544475071,21.5811091929127,22.3283241148764,23.0001127332895,23.4071369489074
"M4_GM_R_PercICV",69.1,19.5605720830613,20.0166453206096,20.7379111194309,21.5007708394631,22.2462983728685,22.9206005111727,23.3324111209779
