ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
MUSE_ICV,64,1184530.07368146,1221930.04161936,1292800.68527031,1386877.5893756,1490052.50114535,1581984.27232645,1636564.52428023
MUSE_ICV,65,1185150.32731204,1222707.89851633,1293774.53635469,1387917.07367719,1491093.58629283,1583113.06629801,1637789.0363806002
MUSE_ICV,66,1185774.29436498,1223490.39848209,1294753.92856389,1388962.11861254,1492140.22246552,1584247.90230264,1639020.0089758001
MUSE_ICV,67,1186401.67390249,1224277.23618328,1295738.53992429,1390012.37394718,1493192.02887803,1585388.37351352,1640257.02068047
MUSE_ICV,68,1187032.16053811,1225068.10157308,1296728.04328729,1391067.48386384,1494248.6188086001,1586534.06676183,1641499.64348191
MUSE_ICV,69,1187665.28675015,1225862.51697753,1297721.93360217,1392126.90137984,1495309.39993671,1587684.35018351,1642747.22278259
MUSE_ICV,70,1188300.36745103,1226659.77971982,1298719.46696797,1393189.82286904,1496373.50395708,1588838.29834271,1643998.7998
MUSE_ICV,71,1188936.70096688,1227459.16966803,1299719.88058241,1394255.42438847,1497440.04088802,1589994.96268933,1645253.39167307
MUSE_ICV,72,1189573.59229464,1228259.9732246,1300722.4181164,1395322.88888407,1498508.12827836,1591153.40254944,1646510.02351247
MUSE_ICV,73,1190210.46248723,1229061.59595411,1301726.44844849,1396391.53295608,1499577.02667205,1592312.8282405,1647767.87601389
MUSE_ICV,74,1190846.81986566,1229863.53299634,1302731.43453394,1397460.7736223,1500646.10406234,1593472.56353051,1649026.24676301
MUSE_ICV,75,1191482.17393713,1230665.28045643,1303736.84001814,1398530.02861738,1501714.72933683,1594631.9330709,1650284.43414277
MUSE_ICV,76,1192116.07177455,1231466.37307041,1304742.16931181,1399598.75961439,1502782.31894396,1595790.31218195,1651541.78899475
MUSE_ICV,77,1192748.31912244,1232266.61312797,1305747.21110832,1400666.73470247,1503848.62009235,1596947.42883037,1652798.02789751
MUSE_ICV,78,1193378.8285299998,1233065.9134022,1306751.87148025,1401733.84848229,1504913.51655097,1598103.15657393,1654053.01842428
MUSE_ICV,79,1194007.51275656,1233864.18683914,1307756.05659383,1402799.99564738,1505976.89222082,1599257.369094,1655306.62825138
MUSE_ICV,80,1194634.31971092,1234661.38304357,1308759.71209461,1403865.11415945,1507038.67850215,1600409.99142559,1656558.77874175
MUSE_ICV,81,1195259.31882195,1235457.57851403,1309762.92055424,1404929.29205261,1508098.97142237,1601561.12662293,1657809.577433
MUSE_ICV,82,1195882.60582733,1236252.87729899,1310765.79432584,1405992.64999696,1509157.90277426,1602710.91640876,1659059.17231641
MUSE_ICV,83,1196504.27660936,1237047.38368448,1311768.4460717,1407055.30899158,1510215.60466809,1603859.50283646,1660307.71174071
MUSE_ICV,84,1197124.42425616,1237841.19890602,1312770.98486004,1408117.3857318999,1511272.20407488,1605007.02196714,1661555.33751252
MUSE_ICV,85,1197743.13658237,1238634.41836446,1313773.5128495002,1409178.98867579,1512327.81819895,1606153.59850842,1662802.17904462
MUSE_ICV,86,1198360.50099529,1239427.1370626,1314776.13173359,1410240.22569254,1513382.56349312,1607299.3562619,1664048.36475481
MUSE_ICV,87,1198976.60527157,1240219.4504523,1315778.94371056,1411301.20517791,1514436.55693713,1608444.41957214,1665294.02362794
MUSE_ICV,88,1199591.54200845,1241011.4588988998,1316782.05596647,1412362.04055266,1515489.92052994,1609588.91778159,1666539.28963387
MUSE_ICV,89,1200205.40875124,1241803.26780945,1317785.58080344,1413422.85039061,1516542.78141804,1610732.98535954,1667784.30185668
MUSE_ICV,90,1200818.3034656001,1242594.98309278,1318789.63108097,1414483.75384337,1517595.26732634,1611876.75737203,1669029.20000323
MUSE_ICV,91,1201430.32396678,1243386.71055543,1319794.31954279,1415544.86986663,1518647.50567166,1613020.36849922,1670274.12336525
MUSE_ICV,92,1202041.56475898,1244178.55244152,1320799.75474336,1416606.31225756,1519699.61759613,1614163.94619326,1671519.20346679
MUSE_ICV,93,1202652.11854572,1244970.60907894,1321806.04297581,1417668.19200105,1520751.72079176,1615307.61391847,1672764.56754555
MUSE_ICV,94,1203262.07868772,1245762.98155537,1322813.29136769,1418730.62093364,1521803.9338056003,1616451.49605031,1674010.3438146003
MUSE_ICV,95,1203871.52789887,1246555.7599135,1323821.59531398,1419793.69849531,1522856.36207581,1617595.70300158,1675256.64591879
MUSE_ICV,96,1204480.56902914,1247349.02966032,1324831.0317906,1420857.54482684,1523909.1766687,1618740.39824899,1676503.60817413
MUSE_ICV,97,1205089.07405486,1248142.7273751998,1325841.56813871,1421922.02006512,1524962.11681919,1619885.345832,1677751.07265433
MUSE_TBR,23,1070182.46656591,1100635.78257938,1160174.08946286,1242316.44661383,1330777.95031735,1403905.30869591,1444750.1602706
MUSE_TBR,24,1068885.24174814,1099244.37684008,1158601.89433808,1240537.76150943,1328997.64848174,1402417.06543241,1443552.43670843
MUSE_TBR,25,1067586.08879705,1097852.48074946,1157031.2961729,1238761.51406939,1327219.03682685,1400931.65686087,1442360.15915512
MUSE_TBR,26,1066283.7939326,1096459.24845594,1155461.96909397,1236987.64808778,1325441.7168709,1399447.88305032,1441171.49486889
MUSE_TBR,27,1064976.91352266,1095063.67617766,1153893.53176052,1235216.10570184,1323665.21528558,1397964.27420697,1439984.16643857
MUSE_TBR,28,1063662.88810307,1093663.99763712,1152325.33818102,1233446.82056232,1321888.73066751,1396478.23844431,1438794.09576046
MUSE_TBR,29,1062338.89277978,1092258.26319086,1150756.67704963,1231679.72422184,1320111.3649338002,1394986.81479806,1437596.57727914
MUSE_TBR,30,1061002.16001797,1090844.5604052,1149186.84824421,1229914.74863692,1318332.21471621,1393486.97467761,1436386.75067987
